Focal_lineage,Test_lineage,NNI_sp,Test_count,comparison_sibling,comparison_uncle,sibling_count,uncle_count,Z-value-sibling,Z-value-uncle,flag,idx
C;,H;,4,35,D;,E;,0.0,1.0,-5.916079783099616,-5.666666666666667,1,7
H;,C;,4,35,I;,"(F,G);",11.0,2.0,-3.5386069477175313,-5.425166581076791,1,7
H;,I;,4,11,C;,"(F,G);",35.0,2.0,3.5386069477175313,-2.4961508830135313,1,7
"(U,B);",V;,1,44,W;,,27.0,0.0,-2.0175288189295504,,2,7
"((F,G),(I,C));","(H,D);",1,132,E;,,96.0,0.0,-2.3841582427170787,,2,7
C;,H;,4,35,D;,E;,0.0,1.0,-5.916079783099616,-5.666666666666667,2,7
H;,C;,4,35,I;,"(F,G);",11.0,2.0,-3.5386069477175313,-5.425166581076791,2,7
I;,H;,4,11,D;,E;,0.0,5.0,-3.3166247903554,-1.5,2,7
C;,H;,4,35,D;,E;,0.0,1.0,-5.916079783099616,-5.666666666666667,1,7
H;,C;,4,35,I;,"(F,G);",11.0,2.0,-3.5386069477175313,-5.425166581076791,1,7
H;,I;,4,11,C;,"(F,G);",35.0,2.0,3.5386069477175313,-2.4961508830135313,1,7
"(U,B);",V;,1,44,W;,,27.0,0.0,-2.0175288189295504,,2,7
"((F,G),(I,C));","(H,D);",1,132,E;,,96.0,0.0,-2.3841582427170787,,2,7
C;,H;,4,35,D;,E;,0.0,1.0,-5.916079783099616,-5.666666666666667,2,7
H;,C;,4,35,I;,"(F,G);",11.0,2.0,-3.5386069477175313,-5.425166581076791,2,7
I;,H;,4,11,D;,E;,0.0,5.0,-3.3166247903554,-1.5,2,7
