Where_at,What_moved,NNI_sp,total_count
"((((N,(M,(K,L))),(J,(((C,I),(D,H)),(E,(F,G))))),(T,(S,(O,(P,(Q,R)))))),((V,W),(B,U)));",A;,0,1535
A;,"((((N,(M,(K,L))),(J,(((C,I),(D,H)),(E,(F,G))))),(T,(S,(O,(P,(Q,R)))))),((V,W),(B,U)));",0,1535
"((V,W),(B,U));","(((N,(M,(K,L))),(J,(((C,I),(D,H)),(E,(F,G))))),(T,(S,(O,(P,(Q,R))))));",0,1144
"(((N,(M,(K,L))),(J,(((C,I),(D,H)),(E,(F,G))))),(T,(S,(O,(P,(Q,R))))));","((V,W),(B,U));",0,1144
"(T,(S,(O,(P,(Q,R)))));","((N,(M,(K,L))),(J,(((C,I),(D,H)),(E,(F,G)))));",0,980
"((N,(M,(K,L))),(J,(((C,I),(D,H)),(E,(F,G)))));","(T,(S,(O,(P,(Q,R)))));",0,980
"(J,(((C,I),(D,H)),(E,(F,G))));","(N,(M,(K,L)));",0,1127
"(N,(M,(K,L)));","(J,(((C,I),(D,H)),(E,(F,G))));",0,1127
"(K,L);",M;,1,77
M;,"(K,L);",1,77
L;,K;,0,1845
K;,L;,0,1845
"(((C,I),(D,H)),(E,(F,G)));",J;,0,1212
J;,"(((C,I),(D,H)),(E,(F,G)));",0,1212
"(D,H);","(C,I);",2,25
"(C,I);","(D,H);",2,25
I;,C;,0,1607
C;,I;,0,1607
H;,D;,0,1632
D;,H;,0,1632
"(F,G);",E;,2,26
E;,"(F,G);",2,26
G;,F;,0,1600
F;,G;,0,1600
"(S,(O,(P,(Q,R))));",T;,0,1276
T;,"(S,(O,(P,(Q,R))));",0,1276
"(O,(P,(Q,R)));",S;,0,1277
S;,"(O,(P,(Q,R)));",0,1277
"(P,(Q,R));",O;,0,1264
O;,"(P,(Q,R));",0,1264
"(Q,R);",P;,0,1317
P;,"(Q,R);",0,1317
R;,Q;,0,1613
Q;,R;,0,1613
"(B,U);","(V,W);",0,1807
"(V,W);","(B,U);",0,1807
W;,V;,0,1928
V;,W;,0,1928
U;,B;,0,1952
B;,U;,0,1952
"(F,(I,(C,G)));",J;,1,147
J;,"(F,(I,(C,G)));",1,147
G;,C;,2,32
C;,G;,2,32
"(N,(M,(K,L)));","(E,(D,H));",2,17
"(E,(D,H));","(N,(M,(K,L)));",2,17
"(D,H);",E;,0,1291
E;,"(D,H);",0,1291
"(K,L);","(M,N);",0,1550
"(M,N);","(K,L);",0,1550
N;,M;,0,1844
M;,N;,0,1844
"((V,W),(B,U));",T;,2,16
T;,"((V,W),(B,U));",2,16
"(V,W);",B;,1,26
B;,"(V,W);",1,26
"(F,(I,(C,G)));","(E,(D,H));",0,923
"(E,(D,H));","(F,(I,(C,G)));",0,923
"(C,I);","(F,G);",0,1048
"(F,G);","(C,I);",0,1048
"(Q,R);",O;,1,156
O;,"(Q,R);",1,156
S;,P;,2,26
P;,S;,2,26
"(F,G);",C;,1,125
C;,"(F,G);",1,125
"(C,I);",G;,1,147
G;,"(C,I);",1,147
"(E,(D,H));",F;,2,24
F;,"(E,(D,H));",2,24
H;,E;,1,167
E;,H;,1,167
"(T,(S,(O,(P,(Q,R)))));","(N,(M,(K,L)));",1,105
"(N,(M,(K,L)));","(T,(S,(O,(P,(Q,R)))));",1,105
"(P,(Q,R));",S;,1,154
S;,"(P,(Q,R));",1,154
E;,D;,1,193
D;,E;,1,193
"(E,(D,H));","(C,I);",1,79
"(C,I);","(E,(D,H));",1,79
"(D,H);",G;,3,6
G;,"(D,H);",3,6
"(C,I);",F;,1,144
F;,"(C,I);",1,144
"((V,W),(B,U));","(T,(S,(O,(P,(Q,R)))));",1,122
"(T,(S,(O,(P,(Q,R)))));","((V,W),(B,U));",1,122
"(F,(I,(C,G)));","(D,H);",1,132
"(D,H);","(F,(I,(C,G)));",1,132
"(O,(P,(Q,R)));",T;,1,158
T;,"(O,(P,(Q,R)));",1,158
"(J,(((C,I),(D,H)),(E,(F,G))));","(K,L);",1,45
"(K,L);","(J,(((C,I),(D,H)),(E,(F,G))));",1,45
"(F,(I,(C,G)));",E;,1,96
E;,"(F,(I,(C,G)));",1,96
"(D,H);",J;,2,18
J;,"(D,H);",2,18
T;,S;,1,139
S;,T;,1,139
"(N,(M,(K,L)));",J;,1,123
J;,"(N,(M,(K,L)));",1,123
"(((N,(M,(K,L))),(J,(((C,I),(D,H)),(E,(F,G))))),(T,(S,(O,(P,(Q,R))))));",A;,1,156
A;,"(((N,(M,(K,L))),(J,(((C,I),(D,H)),(E,(F,G))))),(T,(S,(O,(P,(Q,R))))));",1,156
"(((C,I),(D,H)),(E,(F,G)));","(M,N);",2,16
"(M,N);","(((C,I),(D,H)),(E,(F,G)));",2,16
I;,F;,2,31
F;,I;,2,31
"(K,L);",J;,2,13
J;,"(K,L);",2,13
R;,P;,1,187
P;,R;,1,187
"(S,(O,(P,(Q,R))));","(((C,I),(D,H)),(E,(F,G)));",3,4
"(((C,I),(D,H)),(E,(F,G)));","(S,(O,(P,(Q,R))));",3,4
"(M,N);",L;,1,71
L;,"(M,N);",1,71
"((N,(M,(K,L))),(J,(((C,I),(D,H)),(E,(F,G)))));","((V,W),(B,U));",1,120
"((V,W),(B,U));","((N,(M,(K,L))),(J,(((C,I),(D,H)),(E,(F,G)))));",1,120
"(E,(D,H));",J;,1,131
J;,"(E,(D,H));",1,131
"(T,(S,(O,(P,(Q,R)))));",J;,2,13
J;,"(T,(S,(O,(P,(Q,R)))));",2,13
Q;,P;,1,197
P;,Q;,1,197
"(((C,I),(D,H)),(E,(F,G)));","(N,(M,(K,L)));",1,133
"(N,(M,(K,L)));","(((C,I),(D,H)),(E,(F,G)));",1,133
S;,O;,1,163
O;,S;,1,163
"(J,(((C,I),(D,H)),(E,(F,G))));","(M,N);",1,53
"(M,N);","(J,(((C,I),(D,H)),(E,(F,G))));",1,53
"((V,W),(B,U));",A;,1,152
A;,"((V,W),(B,U));",1,152
"(J,(((C,I),(D,H)),(E,(F,G))));","(T,(S,(O,(P,(Q,R)))));",1,117
"(T,(S,(O,(P,(Q,R)))));","(J,(((C,I),(D,H)),(E,(F,G))));",1,117
P;,O;,1,138
O;,P;,1,138
"(E,(D,H));","(F,G);",1,99
"(F,G);","(E,(D,H));",1,99
"(B,U);",V;,1,44
V;,"(B,U);",1,44
Q;,O;,2,33
O;,Q;,2,33
"(K,L);",N;,1,66
N;,"(K,L);",1,66
"(F,G);",I;,1,126
I;,"(F,G);",1,126
"((N,(M,(K,L))),(J,(((C,I),(D,H)),(E,(F,G)))));",T;,1,112
T;,"((N,(M,(K,L))),(J,(((C,I),(D,H)),(E,(F,G)))));",1,112
"((N,(M,(K,L))),(J,(((C,I),(D,H)),(E,(F,G)))));","(S,(O,(P,(Q,R))));",1,94
"(S,(O,(P,(Q,R))));","((N,(M,(K,L))),(J,(((C,I),(D,H)),(E,(F,G)))));",1,94
"(B,U);",A;,2,7
A;,"(B,U);",2,7
H;,C;,4,35
C;,H;,4,35
"(S,(O,(P,(Q,R))));","((V,W),(B,U));",2,16
"((V,W),(B,U));","(S,(O,(P,(Q,R))));",2,16
T;,O;,2,19
O;,T;,2,19
"(C,I);",J;,2,16
J;,"(C,I);",2,16
"(N,(M,(K,L)));","(F,G);",3,3
"(F,G);","(N,(M,(K,L)));",3,3
I;,G;,2,32
G;,I;,2,32
F;,C;,2,33
C;,F;,2,33
"((V,W),(B,U));","(N,(M,(K,L)));",2,22
"(N,(M,(K,L)));","((V,W),(B,U));",2,22
M;,L;,2,4
L;,M;,2,4
N;,K;,2,4
K;,N;,2,4
"(F,(I,(C,G)));",D;,2,16
D;,"(F,(I,(C,G)));",2,16
"(M,N);",K;,1,71
K;,"(M,N);",1,71
"((V,W),(B,U));",S;,3,2
S;,"((V,W),(B,U));",3,2
"(N,(M,(K,L)));",T;,2,23
T;,"(N,(M,(K,L)));",2,23
"(S,(O,(P,(Q,R))));",A;,3,2
A;,"(S,(O,(P,(Q,R))));",3,2
"(B,U);",W;,1,27
W;,"(B,U);",1,27
"(Q,R);",S;,2,15
S;,"(Q,R);",2,15
"(T,(S,(O,(P,(Q,R)))));","(M,N);",2,7
"(M,N);","(T,(S,(O,(P,(Q,R)))));",2,7
"(T,(S,(O,(P,(Q,R)))));",A;,2,26
A;,"(T,(S,(O,(P,(Q,R)))));",2,26
J;,H;,3,1
H;,J;,3,1
"(N,(M,(K,L)));",A;,3,3
A;,"(N,(M,(K,L)));",3,3
"(V,W);",U;,1,21
U;,"(V,W);",1,21
"((N,(M,(K,L))),(J,(((C,I),(D,H)),(E,(F,G)))));",A;,2,18
A;,"((N,(M,(K,L))),(J,(((C,I),(D,H)),(E,(F,G)))));",2,18
"(((N,(M,(K,L))),(J,(((C,I),(D,H)),(E,(F,G))))),(T,(S,(O,(P,(Q,R))))));","(B,U);",1,32
"(B,U);","(((N,(M,(K,L))),(J,(((C,I),(D,H)),(E,(F,G))))),(T,(S,(O,(P,(Q,R))))));",1,32
"(E,(D,H));",I;,2,19
I;,"(E,(D,H));",2,19
R;,O;,2,31
O;,R;,2,31
"(C,I);",E;,2,19
E;,"(C,I);",2,19
"(F,G);","(D,H);",2,21
"(D,H);","(F,G);",2,21
"(T,(S,(O,(P,(Q,R)))));","(((C,I),(D,H)),(E,(F,G)));",2,12
"(((C,I),(D,H)),(E,(F,G)));","(T,(S,(O,(P,(Q,R)))));",2,12
"(E,(D,H));",C;,2,17
C;,"(E,(D,H));",2,17
J;,E;,2,22
E;,J;,2,22
"(C,I);",D;,3,2
D;,"(C,I);",3,2
"(V,W);",A;,2,6
A;,"(V,W);",2,6
"((N,(M,(K,L))),(J,(((C,I),(D,H)),(E,(F,G)))));",O;,3,2
O;,"((N,(M,(K,L))),(J,(((C,I),(D,H)),(E,(F,G)))));",3,2
"(((N,(M,(K,L))),(J,(((C,I),(D,H)),(E,(F,G))))),(T,(S,(O,(P,(Q,R))))));","(V,W);",1,20
