gt
"(((U,B),A),(((((((Q,P),O),R),S),T),((((((H,D),E),C),((G,F),I)),J),((L,K),(N,M)))),(W,V)));"
"(((((U,B),(W,V)),(((((R,Q),P),O),S),T)),(((L,K),(N,M)),((((H,E),D),J),((I,C),(G,F))))),A);"
"(((((((((L,K),(N,M)),J),((((G,F),(I,C)),(H,E)),D)),T),((((Q,P),O),R),S)),(U,B)),A),(W,V));"
"(((((W,V),(U,B)),((((N,M),(L,K)),J),(((G,F),(I,C)),((H,D),E)))),(((((R,Q),P),O),S),T)),A);"
"((((((S,Q),((R,P),O)),T),(((((L,K),N),M),J),(((G,F),((H,D),E)),(I,C)))),A),((U,B),(W,V)));"
"((((W,V),(U,B)),A),((((((E,D),H),(I,C)),T),((((R,Q),P),O),S)),((((L,K),(N,M)),J),(G,F))));"
"(((((((I,E),(((G,F),C),(H,D))),J),((N,M),(L,K))),((U,B),(W,V))),(((((R,P),Q),O),S),T)),A);"
"((((W,V),(U,B)),A),((((((((H,D),E),((G,F),I)),C),J),((L,K),(N,M))),(((R,Q),P),O)),(T,S)));"
"((((W,V),(U,B)),A),(((((H,D),J),((L,K),(N,M))),(((I,C),(G,F)),E)),(((((R,Q),P),S),O),T)));"
"((((((((R,Q),P),O),S),T),(((((H,D),E),(((I,C),F),G)),J),((L,K),(N,M)))),((W,V),(U,B))),A);"
"(((((((((G,F),(I,C)),(E,D)),J),H),((N,M),(L,K))),(((((R,Q),O),S),P),T)),((W,V),(U,B))),A);"
"((((((((H,D),E),J),((G,F),(I,C))),((N,M),(L,K))),(((((R,Q),P),O),S),T)),((U,B),(W,V))),A);"
"(((((((N,M),(L,K)),(((I,C),(G,F)),((H,D),E))),J),(((((R,P),Q),O),S),T)),((U,B),(W,V))),A);"
"(((((((((R,Q),P),O),S),T),(((L,K),(N,M)),((((G,F),I),(H,C)),(E,D)))),((W,V),(U,B))),J),A);"
"(((((((S,O),((R,Q),P)),T),((L,K),(N,M))),((W,V),(U,B))),((((H,D),E),(((I,C),G),F)),J)),A);"
"((((((((R,Q),O),P),S),T),(((((H,D),E),(((G,F),I),C)),J),((N,M),(L,K)))),((U,B),(W,V))),A);"
"((((U,B),(W,V)),A),(((((((((I,C),F),G),(H,D)),J),E),((N,M),(L,K))),((((R,Q),P),O),S)),T));"
"((((((((H,D),E),(((G,F),I),C)),J),((L,K),(N,M))),(((S,P),((R,Q),O)),T)),((U,B),(W,V))),A);"
"(((((U,B),(W,V)),((((((Q,P),R),O),S),T),J)),((((N,K),M),L),(((H,D),E),(((G,F),C),I)))),A);"
"(((((((((G,F),C),(I,H)),(E,D)),J),((L,K),(N,M))),(((((R,Q),P),O),S),T)),((U,B),(W,V))),A);"
"(((((((((G,F),(I,C)),E),(H,D)),J),((L,K),(N,M))),(((((R,P),Q),S),O),T)),((U,B),(W,V))),A);"
"((((((((E,D),J),(((G,F),(I,C)),H)),((((R,Q),P),O),S)),((W,V),(U,B))),T),A),((N,M),(L,K)));"
"((((((((R,Q),P),O),S),T),((U,B),(W,V))),((((L,K),(N,M)),(((I,G),C),F)),(((H,D),E),J))),A);"
"((((((S,O),((R,Q),P)),T),((((L,K),M),N),(((E,D),J),(((G,F),(H,C)),I)))),((W,V),(U,B))),A);"
"(((((((((R,Q),P),O),S),T),(((((((G,F),C),I),E),H),(L,K)),(J,D))),(N,M)),((W,V),(U,B))),A);"
"((((((((R,Q),P),O),S),T),(((((H,D),E),((I,C),(G,F))),J),((N,M),(L,K)))),((W,V),(U,B))),A);"
"(((((((N,M),(L,K)),J),(((H,D),E),((G,F),(I,C)))),((T,O),(((R,Q),P),S))),((W,V),(U,B))),A);"
"(((((((((R,P),O),Q),S),T),((((((G,F),I),C),((H,D),E)),J),((L,K),(N,M)))),W),((U,B),V)),A);"
"((((((((((R,Q),P),O),S),T),J),(U,B)),(W,V)),(((L,K),(N,M)),((((H,E),D),(I,C)),(G,F)))),A);"
"((((((((R,Q),P),O),T),S),(((((L,K),N),M),((((E,D),(I,C)),H),(G,F))),J)),((W,V),(U,B))),A);"
"((((W,V),(U,B)),A),(((((P,O),T),((R,Q),S)),((L,K),(N,M))),((((H,D),E),J),((G,F),(I,C)))));"
"(((((((P,O),S),(R,Q)),T),((((N,M),(L,K)),J),(((I,C),(G,F)),((H,D),E)))),((U,B),(W,V))),A);"
"((((((((R,Q),P),O),S),T),(((L,K),(N,M)),((((E,D),H),((G,F),(I,C))),J))),((W,V),(U,B))),A);"
"((((((((H,E),D),((I,C),(G,F))),J),((L,K),(N,M))),((((P,O),(R,Q)),S),T)),((W,V),(U,B))),A);"
"(((((((((R,Q),P),O),S),T),((((H,D),E),J),((I,C),(G,F)))),((N,M),(L,K))),((W,V),(U,B))),A);"
"(((((((((E,D),H),J),((I,C),(G,F))),(((L,K),N),M)),((((R,Q),P),O),S)),T),((U,B),(W,V))),A);"
"((((((((E,D),(((H,C),I),(G,F))),J),((N,M),(L,K))),T),((((R,Q),P),O),S)),((W,V),(U,B))),A);"
"(((((W,V),(U,B)),((L,K),(N,M))),((((((R,P),Q),O),T),S),((((I,C),(G,F)),((H,D),E)),J))),A);"
"((((((((R,Q),P),O),S),T),((((((G,F),C),((H,D),E)),I),J),((N,M),(L,K)))),((W,V),(U,B))),A);"
"((((((S,O),((R,Q),P)),T),((((((H,D),E),((G,F),I)),C),J),((L,K),(N,M)))),((W,V),(U,B))),A);"
"(((((((G,F),J),((L,K),(N,M))),(((((R,Q),P),O),S),T)),((U,B),(W,V))),(((H,D),E),(I,C))),A);"
"(((((((((H,D),E),(G,F)),J),(I,C)),((N,M),(L,K))),((T,S),(((R,P),Q),O))),((W,V),(U,B))),A);"
"(((((((((((G,F),I),C),J),((H,D),E)),((L,K),N)),M),(T,S)),(((R,Q),P),O)),((U,B),(W,V))),A);"
"((((((((I,C),(G,F)),((H,D),E)),J),((N,K),(M,L))),(((((R,Q),O),P),S),T)),((U,B),(W,V))),A);"
"(((((((H,D),E),(I,C)),J),(G,F)),A),(((((((Q,P),O),R),S),T),((W,V),(U,B))),((L,K),(N,M))));"
"(((((T,S),(((R,Q),P),O)),((((L,K),(N,M)),((H,D),J)),(((G,F),(I,C)),E))),((U,B),(W,V))),A);"
"(((((((((G,F),(I,C)),E),(H,D)),J),(((N,M),L),K)),(((((R,Q),P),S),T),O)),((W,V),(U,B))),A);"
"((((((((R,Q),P),O),S),T),(((((H,D),E),((I,C),(G,F))),J),((L,K),(N,M)))),((U,B),(W,V))),A);"
