gt
"((((U,B),(W,V)),((((((R,Q),P),O),S),T),(((((G,F),E),((H,D),(I,C))),J),(((L,K),M),N)))),A);"
"(((((((W,V),B),U),T),((((L,K),(N,M)),((H,D),E)),((((G,C),I),F),J))),((((R,Q),P),O),S)),A);"
"((((((((R,Q),P),O),S),T),(((((I,C),(G,F)),((H,D),E)),J),((N,M),(L,K)))),((W,V),(U,B))),A);"
"(((((((((G,F),C),I),((H,D),E)),J),((N,M),(L,K))),(((S,P),((R,Q),O)),T)),((U,B),(W,V))),A);"
"(((((((((H,E),D),F),((I,C),G)),J),((N,M),(L,K))),(((((R,Q),P),O),S),T)),((W,V),(U,B))),A);"
"(((((((E,D),H),((G,F),(I,C))),J),((((((R,Q),P),S),O),T),((L,K),(N,M)))),((W,V),(U,B))),A);"
"(((((((((H,D),E),(I,C)),(G,F)),J),(((L,K),M),N)),(((((R,Q),O),P),S),T)),((W,V),(U,B))),A);"
"(((((W,V),(U,B)),(((((R,Q),P),O),S),T)),((((((I,C),F),E),J),((H,D),G)),((L,K),(N,M)))),A);"
"((((((((H,D),E),(((I,C),F),G)),J),((L,K),(N,M))),(((((R,Q),P),O),S),T)),((U,B),(W,V))),A);"
"((((((((R,Q),P),O),T),S),((U,B),(W,V))),A),(((L,K),(N,M)),((((((I,C),G),F),(H,D)),E),J)));"
"((((((((R,Q),P),O),S),T),(((((H,D),E),((G,F),(I,C))),J),((N,M),(L,K)))),((U,B),(W,V))),A);"
"(((((T,S),(((R,Q),P),O)),(((((H,D),J),((((I,C),G),F),E)),(L,K)),(N,M))),((W,V),(U,B))),A);"
"(((((((L,K),(N,M)),J),(((H,D),E),((G,F),(I,C)))),(((((R,Q),P),S),O),T)),((U,B),(W,V))),A);"
"(((((((((R,Q),P),O),S),T),((L,K),J)),((((I,F),(G,C)),((H,D),E)),(N,M))),A),((W,V),(U,B)));"
"((((((((I,C),(G,F)),((H,D),E)),J),((N,M),(L,K))),(((((R,P),Q),O),T),S)),((U,B),(W,V))),A);"
"(((((U,B),(W,V)),(((((N,M),L),K),J),T)),(((((R,Q),P),O),S),((((I,F),G),C),((H,D),E)))),A);"
"((((((((H,D),E),J),(((I,C),F),G)),((N,M),(L,K))),((W,V),(U,B))),(((((R,Q),P),O),T),S)),A);"
"(((((((H,E),((G,F),(I,C))),D),((L,K),(N,M))),((U,B),(W,V))),A),((((((Q,P),R),O),S),T),J));"
"(((((((((I,C),(G,F)),((H,D),E)),J),(N,M)),(L,K)),((U,B),(W,V))),(((S,O),((R,Q),P)),T)),A);"
"((((W,V),(U,B)),A),((((((I,C),(G,F)),((H,D),E)),J),((N,M),(L,K))),(((((R,Q),P),O),S),T)));"
"((((((((H,D),E),(((G,F),C),I)),J),((N,M),(L,K))),(((S,O),((R,P),Q)),T)),((U,B),(W,V))),A);"
"((((((((I,C),(G,F)),((H,D),E)),J),((((P,O),(R,Q)),S),T)),((W,V),(U,B))),(((L,K),M),N)),A);"
"(((((((((E,D),H),(G,F)),(I,C)),J),((L,K),(N,M))),((U,B),(W,V))),(((((R,Q),P),O),S),T)),A);"
"((((((((G,F),(I,C)),J),((L,K),(N,M))),((H,D),E)),(((((R,Q),P),O),T),S)),((W,V),(U,B))),A);"
"(((((((((G,F),C),I),((H,D),E)),J),((L,K),(N,M))),(((((R,Q),O),P),S),T)),(((U,B),V),W)),A);"
"(((((T,S),(((((I,C),(G,F)),((H,D),E)),J),((N,M),(L,K)))),(((Q,P),R),O)),((U,B),(W,V))),A);"
"((((((((R,Q),P),O),S),T),((U,B),(W,V))),(((((I,C),(G,F)),((H,D),E)),J),((N,M),(L,K)))),A);"
"(((((((Q,O),S),(R,P)),T),(((((E,D),H),((I,C),(G,F))),J),((L,K),(N,M)))),((W,V),(U,B))),A);"
"((((((((R,Q),P),O),S),T),(((((G,F),(I,C)),J),((H,D),E)),((L,K),(N,M)))),((W,V),(U,B))),A);"
"(((((((((R,Q),P),O),S),T),J),(((L,K),(N,M)),((((H,D),E),(I,C)),(G,F)))),((U,B),(W,V))),A);"
"((((U,B),(W,V)),A),((((((Q,P),R),O),S),T),(((((I,C),(G,F)),((H,D),E)),J),(((L,K),N),M))));"
"(((((((((G,F),I),C),((H,D),E)),J),((N,M),(L,K))),((W,V),(U,B))),(((((R,P),Q),O),S),T)),A);"
"((((U,B),(W,V)),(((((((G,F),(I,C)),((H,D),E)),J),((N,M),(L,K))),T),((((R,Q),P),O),S))),A);"
"(((((T,S),(((R,Q),P),O)),(((L,K),(N,M)),(((((H,D),E),(G,F)),(I,C)),J))),((W,V),(U,B))),A);"
"((((((((Q,O),(R,P)),S),T),(((((I,C),G),F),((E,D),H)),J)),((L,K),(N,M))),((W,V),(U,B))),A);"
"(((U,B),A),(((((((((I,C),(G,F)),(H,D)),E),J),((N,M),(L,K))),((((Q,P),R),O),S)),(W,V)),T));"
"((((((((R,Q),O),P),S),T),(((N,M),(L,K)),(((((G,F),E),(H,D)),(I,C)),J))),((U,B),(W,V))),A);"
"(((((((((G,F),(I,C)),((H,D),E)),J),((L,K),(N,M))),(((P,O),(R,Q)),S)),T),((U,B),(W,V))),A);"
"(((((((R,Q),P),O),S),((W,V),(U,B))),((((((G,F),((H,C),I)),(E,D)),J),((N,M),(L,K))),T)),A);"
"(((((((((H,D),E),(((I,C),F),G)),J),((N,M),(L,K))),(((Q,O),(R,P)),S)),T),((U,B),(W,V))),A);"
"((((((((((H,D),E),(I,C)),(G,F)),J),((L,K),(N,M))),(((R,Q),P),S)),((U,B),(W,V))),(T,O)),A);"
"(((((((N,M),(L,K)),(G,F)),(((I,C),J),((H,D),E))),(((((R,Q),O),S),T),P)),((U,B),(W,V))),A);"
"(((((((L,K),(N,M)),(((H,D),E),J)),((I,C),(G,F))),(((((R,Q),P),O),S),T)),((U,B),(W,V))),A);"
"((((U,B),(W,V)),A),(((((N,M),(L,K)),J),(((H,D),E),((F,C),(I,G)))),(((((R,Q),P),O),S),T)));"
"(((((U,B),(W,V)),((L,K),(N,M))),A),((((((R,P),Q),O),S),T),((((I,C),(G,F)),((H,D),E)),J)));"
"((((((((R,Q),P),O),S),T),((((L,K),(N,M)),J),(((H,E),D),(((I,C),G),F)))),((W,V),(U,B))),A);"
"((((((((H,D),E),((I,C),(G,F))),J),((N,K),(M,L))),((T,S),(((R,Q),P),O))),(((U,B),V),W)),A);"
"((((W,V),(U,B)),A),(((((((G,F),C),I),((H,D),E)),J),((L,K),(N,M))),(((((R,Q),P),O),T),S)));"
"((((((((R,Q),P),O),T),S),((((N,M),(L,K)),((((I,G),(F,C)),D),(H,E))),J)),((U,B),(W,V))),A);"
"((((((((N,M),K),L),((((I,C),(G,F)),(E,D)),H)),J),(((((R,Q),P),O),S),T)),((W,V),(U,B))),A);"
"(((((W,V),(U,B)),S),(((((((R,P),O),Q),T),(L,K)),(((((I,C),F),G),((E,D),H)),J)),(N,M))),A);"
"((((((R,Q),P),O),S),A),((((((L,K),M),N),T),((((H,D),E),J),((G,F),(I,C)))),((W,V),(U,B))));"
"((((((((R,Q),P),O),S),T),((W,V),(U,B))),((((E,D),((G,F),((H,C),I))),J),((N,M),(L,K)))),A);"
"((((((((Q,P),R),O),S),T),((((L,K),(N,M)),J),(((H,D),E),((G,F),(I,C))))),A),((U,B),(W,V)));"
"(((((((((I,C),G),F),((H,D),E)),J),((N,M),(L,K))),(((((R,P),Q),O),S),T)),(((U,B),W),V)),A);"
"((((W,V),(U,B)),A),((((((L,K),J),(N,M)),(((I,C),(G,F)),((H,D),E))),(T,S)),(((R,Q),P),O)));"
"(((((T,S),(((R,Q),P),O)),(((((N,M),K),L),((((G,F),I),C),((H,D),E))),J)),((W,V),(U,B))),A);"
